site,layers,supra_degree_sum,aarnet_degree,abb_degree,optus_degree,superloop_degree,telstra_degree,vocus_degree,ixps,isp_fails,local_fails,global_fails
ADL_1,6,37,5,6,5,5,5,5,6,0,0,0
BNE_1,6,37,6,3,6,5,5,6,6,0,0,0
CBR_1,6,20,3,3,2,2,4,4,2,3,0,1
DRW_1,6,20,2,2,2,3,3,4,4,4,1,2
HBA_1,6,15,2,2,2,2,2,1,4,123,97,6
MEL_1,6,49,6,8,6,8,7,8,6,0,0,0
PER_1,6,33,3,4,5,4,5,6,6,0,0,0
SYD_1,6,57,7,10,6,11,9,8,6,0,0,0
LST_1,2,6,0,2,4,0,0,0,0,4,0,3
PHE_1,2,6,0,0,3,0,0,3,0,0,0,0
TSV_1,3,8,3,0,3,0,0,2,0,4,0,4
ROK_1,2,8,6,0,2,0,0,0,0,1,0,1
ISA_1,2,6,3,0,0,0,0,3,0,1,0,1
HGD_1,0,0,0,0,0,0,0,0,0,0,0,0
LRE_1,0,0,0,0,0,0,0,0,0,0,0,0
PUG_1,0,0,0,0,0,0,0,0,0,0,0,0
