srg_id,outages,global_outages,local_only_outages
HBA_LST_TER_1,4,3,1
HBA_LST_TER_2,50,3,47
MEL_LST_SUB_1,3,3,0
MEL_CBR_TER_2,3,1,2
ADL_DRW_TER_1,5,2,3
ISA_HGD_TER_1,5,3,2
TSV_HGD_TER_1,4,2,2
DRW_ISA_TER_1,4,1,3
BNE_ROK_TER_1,5,3,2
ADL_SMAP_SUB_1,2,0,2
BNE_ROK_TER_2,2,0,2
BNE_ROK_TER_3,2,0,2
BNE_TSV_TER_1,2,0,2
DRW_PHE_SUB_1,2,0,2
DRW_PHE_TER_1,3,1,2
LRE_HGD_TER_1,2,0,2
LRE_ISA_TER_1,2,0,2
MEL_ADL_SUB_1,2,0,2
MEL_ADL_TER_1,2,0,2
MEL_ADL_TER_2,2,0,2
MEL_CBR_TER_1,2,0,2
MEL_PER_SUB_1,2,0,2
MEL_LST_SUB_2,50,3,47
SYD_CBR_TER_2,3,1,2
TSV_ROK_TER_1,5,3,2
PER_PHE_TER_1,3,1,2
MEL_LST_SUB_3,3,0,3
SYD_BNE_SUB_3,2,0,2
SYD_BNE_SUB_2,2,0,2
SYD_BNE_SUB_1,2,0,2
SYD_ADL_TER_1,2,0,2
ROK_LRE_TER_1,2,0,2
PER_PHE_TER_3,2,0,2
PER_PHE_TER_2,2,0,2
PER_PHE_SUB_1,2,0,2
PER_DRW_SUB_1,2,0,2
PER_ADL_TER_2,2,0,2
PER_ADL_TER_1,2,0,2
PER_ADL_SUB_1,2,0,2
TSV_ROK_TER_2,2,0,2
SYD_PER_SUB_1,2,0,2
SYD_MEL_TER_3,2,0,2
SYD_MEL_TER_2,2,0,2
SYD_MEL_TER_1,2,0,2
SYD_MEL_SUB_2,2,0,2
SYD_MEL_SUB_1,2,0,2
SYD_CBR_TER_3,2,0,2
SYD_CBR_TER_1,2,0,2
SYD_BNE_TER_3,2,0,2
SYD_BNE_TER_2,2,0,2
SYD_BNE_TER_1,2,0,2
